,p,q,theta,Tice,Sensor_Name
2018-03-08 13:00:00,,,,,D
2018-03-08 13:02:00,,,,,D
2018-03-08 13:03:00,,,,,D
2018-03-08 13:04:00,,,,,D
2018-03-08 13:06:00,,,,,D
2018-03-08 13:07:00,,,,,D
2018-03-08 13:08:00,,,,,D
2018-03-08 13:10:00,,,,,D
2018-03-08 13:11:00,,,,,D
2018-03-08 13:12:00,,,,,D
2018-03-08 13:14:00,,,,,D
2018-03-08 13:15:00,,,,,D
2018-03-08 13:16:00,,,,,D
2018-03-08 13:18:00,,,,,D
2018-03-08 13:19:00,,,,,D
2018-03-08 13:20:00,,,,,D
2018-03-08 13:22:00,,,,,D
2018-03-08 13:23:00,,,,,D
2018-03-08 13:24:00,,,,,D
2018-03-08 13:26:00,,,,,D
2018-03-08 13:27:00,,,,,D
2018-03-08 13:29:00,,,,,D
2018-03-08 13:30:00,,,,,D
2018-03-08 13:32:00,,,,,D
2018-03-08 13:33:00,,,,,D
2018-03-08 13:34:00,,,,,D
2018-03-08 13:36:00,,,,,D
2018-03-08 13:37:00,,,,,D
2018-03-08 13:38:00,,,,,D
2018-03-08 13:40:00,,,,,D
2018-03-08 13:41:00,,,,,D
2018-03-08 13:42:00,,,,,D
2018-03-08 13:44:00,,,,,D
2018-03-08 13:45:00,,,,,D
2018-03-08 13:46:00,,,,,D
2018-03-08 13:48:00,,,,,D
2018-03-08 13:49:00,,,,,D
2018-03-08 13:50:00,,,,,D
2018-03-08 13:52:00,,,,,D
2018-03-08 13:53:00,,,,,D
2018-03-08 13:54:00,,,,,D
2018-03-08 13:56:00,,,,,D
2018-03-08 13:57:00,,,,,D
2018-03-08 13:58:00,,,,,D
2018-03-08 14:00:00,,,,,D
2018-03-08 14:01:00,,,,,D
2018-03-08 14:02:00,,,,,D
2018-03-08 14:04:00,,,,,D
2018-03-08 14:05:00,,,,,D
2018-03-08 14:06:00,,,,,D
2018-03-08 14:08:00,,,,,D
2018-03-08 14:09:00,,,,,D
2018-03-08 14:11:00,,,,,D
2018-03-08 14:12:00,,,,,D
2018-03-08 14:13:00,,,,,D
2018-03-08 14:15:00,,,,,D
2018-03-08 14:16:00,,,,,D
2018-03-08 14:17:00,,,,,D
2018-03-08 14:19:00,,,,,D
2018-03-08 14:20:00,,,,,D
2018-03-08 14:21:00,,,,,D
2018-03-08 14:23:00,,,,,D
2018-03-08 14:24:00,,,,,D
2018-03-08 14:25:00,,,,,D
2018-03-08 14:27:00,,,,,D
2018-03-08 14:28:00,,,,,D
2018-03-08 14:29:00,,,,,D
2018-03-08 14:31:00,,,,,D
2018-03-08 14:32:00,,,,,D
2018-03-08 14:34:00,,,,,D
2018-03-08 14:35:00,,,,,D
2018-03-08 14:36:00,,,,,D
2018-03-08 14:38:00,,,,,D
2018-03-08 14:39:00,,,,,D
2018-03-08 14:40:00,,,,,D
2018-03-08 14:42:00,,,,,D
2018-03-08 14:43:00,,,,,D
2018-03-08 14:45:00,,,,,D
2018-03-08 15:38:00,,,,,D
2018-03-08 15:46:00,,,,,D
2018-03-08 15:49:00,,,,,D
2018-03-08 15:51:00,,,,,D
2018-03-08 15:54:00,,,,,D
2018-03-08 15:56:00,,,,,D
2018-03-08 15:59:00,,,,,D
2018-03-08 16:01:00,,,,,D
2018-03-08 16:03:00,,,,,D
2018-03-08 16:06:00,,,,,D
2018-03-08 16:08:00,,,,,D
2018-03-08 16:10:00,,,,,D
2018-03-08 16:13:00,,,,,D
2018-03-08 16:15:00,,,,,D
2018-03-08 16:17:00,,,,,D
2018-03-08 16:20:00,,,,,D
